File	TechnicalReplicates	ConditionSpecies	Species	Passage	Volume	Media	BlankOD	Class	MaxOD	MaxTime	StatOD	RateODIntercept	Rate	StatTime	OvergrowthTime	OvergrowthOD	AUC8	AUC12	AUC18	AUC24	pH_48.mean	pH_48.sd
141029_Growth_Curves_1	C1-D1		L. plantarum	1	2	BHI++	0.117	Good	0.6115	76401	0.6115	-0.662256728	0.079712227	76085.5	76401	0.6115	1.04216666666667	1.92583333333333	4.70404166666667	8.34145833333333		
141029_Growth_Curves_1	C10-D10		E. coli UTI89	1	2	BHI++	0.109	Good	1.3155	36119	1.3195	-0.607389774	0.449579617	34291.5	36119	1.3155	6.55404166666667	11.8309166666667	19.7330833333333	27.4392083333333		
141029_Growth_Curves_1	C11-D11		E. coli HM605	1	2	BHI++	0.112	Good	1.3715	45781.5	1.083	-1.000314596	0.570736194	91647	45781.5	1.3715	6.70641666666667	12.1625	20.302625	27.7432916666667		
141029_Growth_Curves_1	C12-D12		E. coli CFT073	1	2	BHI++	0.11	Good	1.5245	56585.5	1.5245	-0.861462939	0.519495608	61078.5	56585.5	1.5245	6.89125	12.8217916666667	21.9105833333333	31.0113333333333		
141029_Growth_Curves_1	C2-D2		L. lactis	1	2	BHI++	0.11	Diauxic;Good	1.2505	78511	1.239	-0.441332173	0.13215933	68708	78511	1.2505	2.06508333333333	5.67725	12.990875	20.4143333333333		
141029_Growth_Curves_1	C3-D3		S. typhimurium LT2	1	2	BHI++	0.111	Falling;Overgrowth	0.4815	30675.5	0.4575	-0.309246652	0.178413624	47145.5	30675.5	0.4815	2.559	4.46716666666667	7.1915	9.68266666666667		
141029_Growth_Curves_1	C4-D4		E. coli IAI1	1	2	BHI++	0.111	Good	1.35	40212.5	1.299	-0.96094217	0.589661659	91201	40212.5	1.35	6.83625	12.2040416666667	20.14425	27.4127083333333		
141029_Growth_Curves_1	C5-D5		P. difficile	1	2	BHI++	0.113	Zero	0.459	54928.5	0.127	-0.080622289	0.037056785	90705	54928.5	0.459	1.097	2.24675	4.74858333333333	5.95525		
141029_Growth_Curves_1	C6-D6		S. flexneri	1	2	BHI++	0.111	Good	1.2705	84558.5	1.266	-0.682483057	0.371762551	77750.5	84558.5	1.2705	4.95958333333333	9.67925	17.1657083333333	24.7842916666667		
141029_Growth_Curves_1	C7-D7		V. cholerae A1552	1	2	BHI++	0.108	Diauxic;Falling	0.4435	53741.5	0.176	-0.180864237	0.076131629	90885	53741.5	0.4435	1.33933333333333	2.66383333333333	5.19904166666667	6.51345833333333		
141029_Growth_Curves_1	C8-D8		V. cholerae N16961	1	2	BHI++	0.11	Diauxic;Falling	0.4895	39809	0.176	-0.084588382	0.077952282	88218	39809	0.4895	1.61295833333333	3.40358333333333	5.29991666666667	6.399875		
141029_Growth_Curves_1	C9-D9		S. sonnei	1	2	BHI++	0.108	Good	1.1985	55499	1.034	-1.000718858	0.472383065	90835	55499	1.1985	4.908125	9.48329166666667	16.630875	23.4339583333333		
141029_Growth_Curves_1	E1-F1		L. plantarum	1	2	mGAM	0.173	Good;Noisy	0.535	66906	0.5315	-0.137153147	0.08481298	66379.5	66906	0.535	1.95883333333333	3.74845833333333	6.78704166666667	9.88558333333333		
141029_Growth_Curves_1	E10-F10		E. coli UTI89	1	2	mGAM	0.174	Raising	1.264	91142	1.263	-0.501581084	0.381260251	93498	91142	1.264	5.127875	9.29316666666667	16.1629583333333	23.4751666666667		
141029_Growth_Curves_1	E11-F11		E. coli HM605	1	2	mGAM	0.168	Good	1.3305	83270	1.3245	-0.873975407	0.523301715	70161	83270	1.3305	6.34095833333333	11.466875	19.30625	27.2514166666667		
141029_Growth_Curves_1	E12-F12		E. coli CFT073	1	2	mGAM	0.179	Good	1.243	81234.5	1.2305	-1.147314608	0.600350492	75651.5	81234.5	1.243	5.84145833333333	10.5285	17.8311666666667	25.2532083333333		
141029_Growth_Curves_1	E2-F2		L. lactis	1	2	mGAM	0.17	Raising	0.492	88624	0.4645	-0.238465369	0.096378366	60955	88624	0.492	1.940375	3.70720833333333	6.45041666666667	9.30429166666667		
141029_Growth_Curves_1	E3-F3		S. typhimurium LT2	1	2	mGAM	0.172	Raising	0.4795	52380.5	0.48	-0.009551506	0.105934436	52978	52380.5	0.4795	2.71216666666667	4.52404166666667	7.236375	10.1477083333333		
141029_Growth_Curves_1	E4-F4		E. coli IAI1	1	2	mGAM	0.177	Good	1.199	42748	1.1965	-1.179129845	0.724404934	45188	42748	1.199	6.47541666666667	11.2520416666667	18.4222916666667	25.4808333333333		
141029_Growth_Curves_1	E5-F5		P. difficile	1	2	mGAM	0.174	Good	0.5885	57379	0.5715	-0.652742075	0.172041781	49205	57379	0.5885	2.08891666666667	4.291375	7.78041666666667	11.07825		
141029_Growth_Curves_1	E6-F6		S. flexneri	1	2	mGAM	0.174	Good	1.0645	69312	1.0665	-0.551131676	0.378390424	71798	69312	1.0645	5.03379166666667	9.057875	15.3863333333333	21.7616666666667		
141029_Growth_Curves_1	E7-F7		V. cholerae A1552	1	2	mGAM	0.177	Diauxic;Unfinished	0.531	92083.5	0.5275	0.129469665	0.015946727	92364.5	92083.5	0.531	1.71691666666667	2.86941666666667	4.998875	7.73170833333333		
141029_Growth_Curves_1	E8-F8		V. cholerae N16961	1	2	mGAM	0.175	Diauxic;Falling	0.5655	58040	0.567	0.075558025	0.036648942	57382.5	58040	0.5655	1.99220833333333	3.74695833333333	7.05033333333333	10.24725		
141029_Growth_Curves_1	E9-F9		S. sonnei	1	2	mGAM	0.18	Good	1.1855	61998	1.181	-0.734591773	0.407225906	63656	61998	1.1855	5.20116666666667	9.69108333333333	16.734875	23.769		
141029_Growth_Curves_1	G1-H1		L. plantarum	1	2	WCA	0.113	Falling	1.034	56523.5	0.676	-0.881256267	0.173152651	92028	56523.5	1.034	1.48654166666667	4.298625	10.2583333333333	15.36575		
141029_Growth_Curves_1	G10-H10		E. coli UTI89	1	2	WCA	0.115	Good	1.523	91232.5	1.519	-0.891434684	0.554645929	90198	91232.5	1.523	6.4155	11.9953333333333	20.791	29.8355		
141029_Growth_Curves_1	G11-H11		E. coli HM605	1	2	WCA	0.116	Good	1.4305	73323.5	1.426	-0.871012055	0.520901611	71743	73323.5	1.4305	6.18779166666667	11.6087916666667	20.0775416666667	28.6406666666667		
141029_Growth_Curves_1	G12-H12		E. coli CFT073	1	2	WCA	0.117	Good	1.517	90152	1.516	-0.567167616	0.390642043	90066	90152	1.517	6.26691666666667	11.8875	20.7014583333333	29.730125		
141029_Growth_Curves_1	G2-H2		L. lactis	1	2	WCA	0.118	Diauxic;Unfinished	1.1915	91972.5	1.183	-0.962275791	0.272613556	90735	91972.5	1.1915	2.675375	6.06958333333333	11.4751666666667	17.8387083333333		
141029_Growth_Curves_1	G3-H3		S. typhimurium LT2	1	2	WCA	0.112	Good;Overgrowth	0.4645	27204	0.4485	-0.346338913	0.212718775	45714	27204	0.4645	2.55195833333333	4.361	6.99654166666667	9.544625		
141029_Growth_Curves_1	G4-H4		E. coli IAI1	1	2	WCA	0.11	Good	1.497	62498	1.502	-0.713420434	0.507532765	61021.5	62498	1.497	6.703	12.419875	21.3647916666667	30.3140833333333		
141029_Growth_Curves_1	G5-H5		P. difficile	1	2	WCA	0.112	Falling	1.06	66558.5	0.78	-0.232961864	0.081877076	92099	66558.5	1.06	1.597375	3.89279166666667	9.529375	15.372		
141029_Growth_Curves_1	G6-H6		S. flexneri	1	2	WCA	0.119	Good	0.8595	64824	0.8595	-0.48688745	0.306339735	62500	64824	0.8595	3.730625	6.94904166666667	12.0592083333333	17.1370833333333		
141029_Growth_Curves_1	G7-H7		V. cholerae A1552	1	2	WCA	0.122	Diauxic;Falling	0.3505	69431	0.3505	0.090525057	0.014716239	67817.5	69431	0.3505	1.35175	2.34283333333333	4.18391666666667	6.09879166666667		
141029_Growth_Curves_1	G8-H8		V. cholerae N16961	1	2	WCA	0.115	Diauxic;Falling	0.4535	56618.5	0.4535	0.082832606	0.021642674	58371.5	56618.5	0.4535	1.53029166666667	2.662	5.116	6.84045833333333		
141029_Growth_Curves_1	G9-H9		S. sonnei	1	2	WCA	0.121	Good	0.799	61286	0.797	-0.630378978	0.323727071	60761	61286	0.799	3.55104166666667	6.58333333333333	11.3476666666667	16.069375		
141030_Growth_Curves_2	A1-B1		S. typhimurium ATCC14028	1	2	GMM	0.107	Falling	1.0665	34892	0.682	-0.627087409	0.30648002	84902	34892	1.0665	4.282375	8.47925	14.453875	19.2825833333333		
141030_Growth_Curves_2	A10-B10		C. perfringens S107	1	2	GMM	0.1	Falling	1.02	26876.5	0.4	-0.531417076	0.219236729	50800	26876.5	1.02	3.52120833333333	7.107125	9.73829166666667	11.9516666666667		
141030_Growth_Curves_2	A11-B11		L. paracasei	1	2	GMM	0.099	Diauxic;Unfinished	1.309	85058	1.3165	-1.371878398	0.137134037	84990	85058	1.309	1.08079166666667	2.438375	6.43745833333333	13.23875		
141030_Growth_Curves_2	A12-B12		B. animalis subsp. lactis BI-07	1	2	GMM	0.111	Good	1.325	37511	1.164	-1.525539708	0.47503475	85381	37511	1.325	4.473625	9.770625	17.5644583333333	24.6614166666667		
141030_Growth_Curves_2	A2-B2		E. coli ED1a	1	2	GMM	0.103	Diauxic;Falling	1.016	41773	0.521	-0.296885591	0.19264823	86102	41773	1.016	3.55516666666667	7.44016666666667	13.0975833333333	16.9969166666667		
141030_Growth_Curves_2	A3-B3		E. coli H10407	1	2	GMM	0.12	Good;Noisy	0.476	33545	0.473	-0.173041073	0.117171388	39107	33545	0.476	2.32758333333333	4.228875	7.10225	10.1574166666667		
141030_Growth_Curves_2	A4-B4		E. coli E2348/69	1	2	GMM	0.105	Diauxic;Falling	0.51	38222.5	0.36	-0.12715738	0.101365603	83938	38222.5	0.51	2.17641666666667	4.14091666666667	6.81820833333333	9.01		
141030_Growth_Curves_2	A5-B5		B. vulgatus	1	2	GMM	0.103	Good;Overgrowth	0.651	47195	0.57	-0.24678515	0.115569835	55460	47195	0.651	2.07304166666667	4.36070833333333	8.025	11.4193333333333		
141030_Growth_Curves_2	A6-B6		B. hansenii	1	2	GMM	0.1	Unfinished	0.514	85682.5	0.5155	-0.020338729	0.027483787	85696	85682.5	0.514	0.947958333333333	1.919375	4.18458333333333	6.9755		
141030_Growth_Curves_2	A7-B7		H. parainfluenzae	1	2	GMM	0.099	Falling	0.956	41067	0.732	-0.885403647	0.198548915	85381	41067	0.956	1.69041666666667	5.16858333333333	10.6807083333333	15.347875		
141030_Growth_Curves_2	A8-B8		F. nucleatum subsp. animalis	1	2	GMM	0.102	Falling;Noisy;Overgrowth	0.7485	52663	0.639	-1.732630545	0.212830962	58849	52663	0.7485	0.907375	2.4545	6.48666666666667	10.0250416666667		
141030_Growth_Curves_2	A9-B9		C. bolteae	1	2	GMM	0.098	Falling	1.4265	35723.5	1.228	-1.941222045	0.437443449	85381	35723.5	1.4265	3.0555	8.6245	16.6286666666667	23.9621666666667		
141030_Growth_Curves_2	C1-D1		S. typhimurium ATCC14028	1	2	BHI++	0.114	Good	1.418	68379.5	1.172	-0.605714982	0.396898793	46549	68379.5	1.418	5.483	10.0700416666667	16.9977083333333	23.1278333333333		
141030_Growth_Curves_2	C10-D10		C. perfringens S107	1	2	BHI++	0.106	Good	1.314	31144	1.32	-1.474958106	0.792254158	29023	73213	1.393	6.920375	12.2150416666667	20.4748333333333	28.614875		
141030_Growth_Curves_2	C11-D11		L. paracasei	1	2	BHI++	0.108	Good	1.3595	71875	1.3515	-3.043076411	0.378260033	75608	71875	1.3595	1.02416666666667	3.76575	11.5994166666667	19.516125		
141030_Growth_Curves_2	C12-D12		B. animalis subsp. lactis BI-07	1	2	BHI++	0.116	Diauxic;Good	0.982	46274.5	0.9835	-0.489582519	0.192729526	48529.5	46274.5	0.982	2.898625	6.5185	12.394875	17.984625		
141030_Growth_Curves_2	C2-D2		E. coli ED1a	1	2	BHI++	0.108	Good	1.361	44188.5	1.3575	-0.742078917	0.487776715	41205	44188.5	1.361	6.61808333333333	12.026625	20.078125	27.4350833333333		
141030_Growth_Curves_2	C3-D3		E. coli H10407	1	2	BHI++	0.117	Unreproducible;Diauxic;Good	1.214	61874.5	0.864	-0.120053044	0.159225783	51585	61874.5	1.214	3.57691666666667	6.69229166666667	11.8457083333333	16.6311666666667		
141030_Growth_Curves_2	C4-D4		E. coli E2348/69	1	2	BHI++	0.107	Good	0.859	41082	0.859	-0.69730056	0.453219976	39073.5	41082	0.859	4.2585	7.64270833333333	12.6168333333333	16.7083333333333		
141030_Growth_Curves_2	C5-D5		B. vulgatus	1	2	BHI++	0.103	Diauxic;Good	1.1425	65369	1.143	-0.681985532	0.396103356	69182	65369	1.1425	4.55654166666667	8.69333333333333	15.4440833333333	22.0859166666667		
141030_Growth_Curves_2	C6-D6		B. hansenii	1	2	BHI++	0.111	Good	1.1055	51186	1.107	-0.462620594	0.155112093	50993	51186	1.1055	2.06041666666667	5.76745833333333	12.327875	18.1822083333333		
141030_Growth_Curves_2	C7-D7		H. parainfluenzae	1	2	BHI++	0.109	Good	1.408	79970.5	1.393	-1.137313396	0.387826052	69337	79970.5	1.408	4.49191666666667	9.5685	17.6926666666667	25.86425		
141030_Growth_Curves_2	C8-D8		F. nucleatum subsp. animalis	1	2	BHI++	0.108	Falling	0.3745	51987	0.31	-0.231221829	0.044920961	84861	51987	0.3745	0.960958333333333	1.841375	4.00841666666667	5.91641666666667		
141030_Growth_Curves_2	C9-D9		C. bolteae	1	2	BHI++	0.11	Good;Overgrowth	1.1375	55738	1.1365	-0.542052506	0.171726752	58853	55738	1.1375	2.46041666666667	6.61175	13.4275833333333	19.9525833333333		
141030_Growth_Curves_2	E1-F1		S. typhimurium ATCC14028	1	2	mGAM	0.175	Good	1.3015	75896.5	1.3015	-0.858071429	0.561916832	79169.5	75896.5	1.3015	5.86858333333333	10.5892083333333	18.1769166666667	25.7785		
141030_Growth_Curves_2	E10-F10		C. perfringens S107	1	2	mGAM	0.173	Good;Overgrowth	1.635	24093	1.587	-1.270890423	0.767217068	37913	20021	1.738	8.79766666666667	15.160875	24.5415833333333	33.6246666666667		
141030_Growth_Curves_2	E11-F11		L. paracasei	1	2	mGAM	0.178	Diauxic;Falling	0.358	69044.5	0.357	0.002617379	0.037955296	66985	69044.5	0.358	1.622875	2.76291666666667	4.718125	6.5555		
141030_Growth_Curves_2	E12-F12		B. animalis subsp. lactis BI-07	1	2	mGAM	0.185	Diauxic;Good	1.1185	63980.5	1.1115	-0.738908372	0.325749333	69375.5	63980.5	1.1185	3.91854166666667	7.67241666666667	14.21575	20.6325833333333		
141030_Growth_Curves_2	E2-F2		E. coli ED1a	1	2	mGAM	0.172	Good	1.1435	63597.5	1.1475	-0.781415752	0.544870797	61205.5	63597.5	1.1435	5.85995833333333	10.282125	17.1059166666667	23.6935416666667		
141030_Growth_Curves_2	E3-F3		E. coli H10407	1	2	mGAM	0.184	Diauxic;Falling	0.847	67087.5	0.8485	0.073894	0.112856181	68012.5	67087.5	0.847	3.58766666666667	6.39216666666667	11.2199166666667	15.875625		
141030_Growth_Curves_2	E4-F4		E. coli E2348/69	1	2	mGAM	0.172	Diauxic;Good	0.7855	47092.5	0.71	-0.15443737	0.181679739	82422	47092.5	0.7855	3.34891666666667	6.2305	10.9169583333333	15.1382083333333		
141030_Growth_Curves_2	E5-F5		B. vulgatus	1	2	mGAM	0.169	Diauxic;Good	1.519	85090.5	1.5255	-0.80680969	0.175460182	84760.5	85090.5	1.519	3.70804166666667	7.48170833333333	15.863375	24.5969583333333		
141030_Growth_Curves_2	E6-F6		B. hansenii	1	2	mGAM	0.168	Good	0.995	35604	1.024	-0.539004386	0.255926558	57809	71535	1.0555	4.109625	8.08983333333333	14.286125	20.4199166666667		
141030_Growth_Curves_2	E7-F7		H. parainfluenzae	1	2	mGAM	0.169	Good	1.3225	85267	1.313	-1.24121437	0.442793865	74646	85267	1.3225	4.68045833333333	9.52958333333333	17.1890833333333	24.8135833333333		
141030_Growth_Curves_2	E8-F8		F. nucleatum subsp. nucleatum	1	2	mGAM	0.167	Good	1.565	70838	1.556	-4.175441893	0.444426668	71104.5	70838	1.565	1.351625	3.17658333333333	11.886125	20.9140833333333		
141030_Growth_Curves_2	E9-F9		C. bolteae	1	2	mGAM	0.17	Good	1.122	40989	0.994	-0.562286414	0.196593408	84708	40989	1.122	3.05595833333333	7.376375	13.8885416666667	19.8336666666667		
141030_Growth_Curves_2	G1-H1		S. typhimurium ATCC14028	1	2	WCA	0.119	Good	1.307	54224	1.3025	-0.643547648	0.418401999	56331	54224	1.307	5.68516666666667	10.6362916666667	18.4110416666667	25.6400416666667		
141030_Growth_Curves_2	G10-H10		C. perfringens S107	1	2	WCA	0.112	Good	1.491	67218.5	1.478	-1.160891103	0.755605005	48462.5	67218.5	1.491	7.91079166666667	13.7247083333333	22.5723333333333	31.214375		
141030_Growth_Curves_2	G11-H11		L. paracasei	1	2	WCA	0.116	Diauxic;Falling	1.023	73813.5	0.85	-0.4465595	0.103194029	85013	73813.5	1.023	1.30545833333333	3.23241666666667	6.99695833333333	12.515		
141030_Growth_Curves_2	G12-H12		B. animalis subsp. lactis BI-07	1	2	WCA	0.123	Good	1.522	61907	1.513	-1.495381014	0.529117829	60866.5	61907	1.522	5.40633333333333	11.1289166666667	20.1842916666667	28.9377916666667		
141030_Growth_Curves_2	G2-H2		E. coli ED1a	1	2	WCA	0.113	Good	1.373	68734.5	1.3745	-0.871109699	0.597947203	65285.5	68734.5	1.373	6.509875	11.7329583333333	19.8879166666667	27.8222916666667		
141030_Growth_Curves_2	G3-H3		E. coli H10407	1	2	WCA	0.117	Diauxic;Falling	1.266	33818	1.17	-3.308629375	1.045026518	57800	33818	1.266	5.72445833333333	10.7760416666667	17.9370833333333	24.6667083333333		
141030_Growth_Curves_2	G4-H4		E. coli E2348/69	1	2	WCA	0.116	Good	1.2555	71357.5	1.248	-0.476603451	0.389430114	71855	71357.5	1.2555	5.09	9.52529166666667	16.8535833333333	24.13175		
141030_Growth_Curves_2	G5-H5		B. vulgatus	1	2	WCA	0.111	Good	1.4125	82474.5	1.4085	-0.617403569	0.406199662	77394.5	82474.5	1.4125	5.02504166666667	9.99291666666667	18.199375	26.4396666666667		
141030_Growth_Curves_2	G6-H6		B. hansenii	1	2	WCA	0.115	Good	0.8055	47911	0.802	-0.378866729	0.111823179	61770	47911	0.8055	1.743875	4.51141666666667	9.28608333333333	13.9190833333333		
141030_Growth_Curves_2	G7-H7		H. parainfluenzae	1	2	WCA	0.114	Good	1.4835	80332	1.4775	-1.723506862	0.568471837	80403	80332	1.4835	4.84258333333333	10.3149166666667	19.011375	27.6345416666667		
141030_Growth_Curves_2	G8-H8		F. nucleatum subsp. nucleatum	1	2	WCA	0.113	Good	0.4465	61813	0.4435	-0.054093386	0.031413651	63978	61813	0.4465	1.11066666666667	2.11970833333333	4.49895833333333	7.05891666666666		
141030_Growth_Curves_2	G9-H9		C. bolteae	1	2	WCA	0.113	Good	1.1225	60843.5	1.108	-0.822306205	0.239860294	70136.5	60843.5	1.1225	2.68029166666667	6.88725	13.495	19.9838333333333		
141031_Growth_Curves_3	A1-B1		Y. pseudotuberculosis	1	2	GMM	0.106	Falling;Noisy	0.6785	62668	0.324	-6.814001575	0.483165763	83401	62668	0.6785	0.898416666666667	1.53391666666667	4.10808333333333	7.48783333333333		
141031_Growth_Curves_3	A10-B10		B. fragilis enterotoxigenic	1	2	GMM	0.108	Falling	1.4265	41032	1.208	-1.109886782	0.277255342	88475	41032	1.4265	2.79354166666667	8.19220833333334	16.580375	24.4029166666667		
141031_Growth_Curves_3	A11-B11		C. saccharolyticum	1	2	GMM	0.107	Falling;Overgrowth	0.907	48031	0.525	-2.419860987	0.316184007	78599	48031	0.907	1.126375	3.5195	8.18483333333333	11.43225		
141031_Growth_Curves_3	A12-B12		S. salivarius	1	2	GMM	0.105	Diauxic;Good	1.469	79603.5	1.4725	-2.17601144	0.450316026	79731	79603.5	1.469	2.50833333333333	7.082125	14.8613333333333	23.600125		
141031_Growth_Curves_3	A2-B2		B. uniformis	1	2	GMM	0.108	Good	1.096	59771.5	0.958	-1.246174503	0.179852118	89938	59771.5	1.096	1.090625	3.21933333333333	9.47029166666666	15.823875		
141031_Growth_Curves_3	A3-B3		B. fragilis	1	2	GMM	0.124	Falling	1.19	43454.5	0.775	-1.208270314	0.284806106	89560	43454.5	1.19	2.334375	6.86058333333333	13.6415416666667	19.15725		
141031_Growth_Curves_3	A4-B4		B. thetaiotaomicron	1	2	GMM	0.111	Good	1.3625	53664.5	1.199	-1.990261873	0.359334274	90317	53664.5	1.3625	1.88216666666667	6.61666666666667	14.732875	22.524875		
141031_Growth_Curves_3	A5-B5		C. ramosum	1	2	GMM	0.114	Falling	1.1	26989	0.399	-0.641165573	0.314324447	88804	26989	1.1	4.66083333333333	8.81691666666667	13.7343333333333	17.5099166666667		
141031_Growth_Curves_3	A6-B6		L. gasseri	1	2	GMM	0.102	Good	1.6025	62385.5	1.6005	-1.775551523	0.440161853	60927	62385.5	1.6025	3.52291666666667	9.681125	19.3005416666667	28.82275		
141031_Growth_Curves_3	A7-B7		P. melaninogenica	1	2	GMM	0.097	NoGrowth	0.097	41489.5	0.097	0.09784022	0	54444	41489.5	0.097	0.780833333333333	1.1675	1.7435	2.31720833333333		
141031_Growth_Curves_3	A8-B8		B. longum subsp. longum	1	2	GMM	0.11	Good;Noisy	1.202	53938	1.076	-6.670821549	0.617764228	85795	53938	1.202	0.900458333333333	1.84220833333333	8.56270833333333	15.27425		
141031_Growth_Curves_3	A9-B9		C. perfringens C36	1	2	GMM	0.099	Falling	0.738	20122.5	0.256	-0.759334129	0.327898975	40459	20122.5	0.738	3.11316666666667	4.239625	6.00604166666667	7.31233333333333		
141031_Growth_Curves_3	C1-D1		Y. pseudotuberculosis	1	2	BHI++	0.112	Good	0.2135	34924	0.2115	0.037928528	0.022359501	43736.5	34924	0.2135	1.12495833333333	1.97620833333333	3.23541666666667	4.465875		
141031_Growth_Curves_3	C10-D10		B. fragilis enterotoxigenic	1	2	BHI++	0.109	Good	1.1685	53251	1.1665	-0.643988931	0.227936917	51480	53251	1.1685	3.243	7.73725	14.6900833333333	21.2822916666667		
141031_Growth_Curves_3	C11-D11		C. saccharolyticum	1	2	BHI++	0.114	Good;Overgrowth	1.041	46647	0.995	-3.971667843	0.537073524	87378	46647	1.041	1.26	4.99466666666667	11.2644166666667	17.30525		
141031_Growth_Curves_3	C12-D12		S. salivarius	1	2	BHI++	0.123	Diauxic;Good	1.676	53864.5	1.6615	-2.212728697	0.325079888	73478.5	53864.5	1.676	2.80833333333333	6.94091666666667	16.8087083333333	26.73575		
141031_Growth_Curves_3	C2-D2		B. uniformis	1	2	BHI++	0.11	Noisy;Unfinished	0.3095	89425.5	0.3055	-0.130380786	0.017369628	88360.5	89425.5	0.3095	0.971041666666667	1.53520833333333	2.482875	3.854		
141031_Growth_Curves_3	C3-D3		B. fragilis	1	2	BHI++	0.117	Good	1.126	53513	0.889	-1.074402031	0.276562958	88965	53513	1.126	2.67725	6.874875	13.5719166666667	19.70575		
141031_Growth_Curves_3	C4-D4		B. thetaiotaomicron	1	2	BHI++	0.11	Good	1.0255	43682	0.878	-0.764323116	0.166465343	89759	43682	1.0255	1.609125	4.93491666666667	10.9347083333333	16.57375		
141031_Growth_Curves_3	C5-D5		C. ramosum	1	2	BHI++	0.112	Raising	0.86	89572	0.74	-0.354556787	0.219739308	49102	89572	0.86	3.31525	6.20333333333333	10.6195	15.2986666666667		
141031_Growth_Curves_3	C6-D6		L. gasseri	1	2	BHI++	0.109	Raising	0.15	64651	0.1425	0.086956427	0.012233368	53504	64651	0.15	0.971291666666667	1.508	2.38204166666667	3.242875		
141031_Growth_Curves_3	C7-D7		P. melaninogenica	1	2	BHI++	0.109	NoGrowth	0.115	67446	0.115	0.112674266	3.6e-05	71796	67446	0.115	0.852541666666667	1.29666666666667	1.98166666666667	2.67254166666667		
141031_Growth_Curves_3	C8-D8		B. longum subsp. longum	1	2	BHI++	0.114	Good;Overgrowth	0.766	39772	0.635	-0.76552492	0.250384815	88965	39772	0.766	3.04116666666667	6.21333333333333	10.7825416666667	15.0395416666667		
141031_Growth_Curves_3	C9-D9		C. perfringens C36	1	2	BHI++	0.105	Falling	1.3095	19895	0.94	-1.948290427	0.760548416	66543	19895	1.3095	5.92054166666667	10.246625	15.8215	21.4589583333333		
141031_Growth_Curves_3	E1-F1		Y. pseudotuberculosis	1	2	mGAM	0.175	Diauxic;Falling	0.336	53606.5	0.297	0.042841608	0.046921992	29003	53606.5	0.336	1.829375	3.05920833333333	5.04966666666667	6.95754166666667		
