species	full_name	lineage_species	genus	family	order	class	phylum	assembly	agora	sort	nid	taxid	nearest_kegg_org
C. saccharolyticum	Clostridium saccharolyticum (S1) DSM No: 2544	C. saccharolyticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	GCA_000144625.1_ASM14462v1		57	NT5037	610130	csh
D. piger	Desulfovibrio piger (S1) DSM 749	D. piger	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	GCA_000156375.1_ASM15637v1	Desulfovibrio_piger_ATCC_29098.xml	80	NT5035	411464	
E. coli CFT073	Escherichia coli CFT073 ATCC 700928	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000007445.1_ASM744v1		81	NT12192	199310	ecc
E. coli E2348/69	Escherichia coli E2348/69	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000026545.1_ASM2654v1		82	NT12195	574521	ecg
E. coli ED1a	Escherichia coli ED1a	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000026305.1_ASM2630v1		83	NT5078	585397	ecq
E. coli H10407	Escherichia coli H10407 ATCC 35401	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000210475.1_ASM21047v1		84	NT12194	316401	elh
E. coli HM605	Escherichia coli HM605	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000264175.1_ASM26417v1		85	NT12193	752789	
E. coli IAI1	Escherichia coli IAI1	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000026265.1_ASM2626v1		86	NT5077	585034	ecr
E. coli UTI89	Escherichia coli UTI89	E. coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000013265.1_ASM1326v1	Escherichia_coli_UTI89_UPEC.xml	87	NT12097	364106	eci
E. lenta	Eggerthella lenta (S2) DSM No.: 2243	E. lenta	Eggerthella	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	GCA_000024265.1_ASM2426v1	Eggerthella_lenta_DSM_2243.xml	8	NT5024	479437	ele
E. rectale	Eubacterium rectale (S1) DSM No.: 17629	E. rectale	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	GCA_000209935.1_ASM20993v1		61	NT5009	657318	ert
E. siraeum	Eubacterium siraeum (S1) DSM No: 15702	E. siraeum	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	GCA_000154325.1_ASM15432v1	Eubacterium_siraeum_DSM_15702.xml	62	NT5040	428128	
F. nucleatum subsp. animalis	Fusobacterium nucleatum subsp. animalis (S2) DSM 19679	F. nucleatum subsp. animalis	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria	GCA_000220825.1_ASM22082v1		76	NT5029	997347	fnu
F. nucleatum subsp. nucleatum	Fusobacterium nucleatum subsp. nucleatum (S2) DSM No.: 15643	F. nucleatum subsp. nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria	GCA_000007325.1_ASM732v1		78	NT5025	190304	fnu
F. nucleatum subsp. vincentii	Fusobacterium nucleatum subsp. vincentii (S2) DSM 19507	F. nucleatum subsp. vincentii	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteria	Fusobacteria	GCA_000182945.1_ASM18294v1		77	NT5030	209882	fnc
H. parainfluenzae	Haemophilus parainfluenzae (S2) DSMZ 8978	H. parainfluenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	GCA_000191405.1_ASM19140v1	Haemophilus_parainfluenzae_T3T1.xml	93	NT5018	888828	hpr
L. gasseri	Lactobacillus gasseri DSMZ 20243 (S1)	L. gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000014425.1_ASM1442v1	Lactobacillus_gasseri_ATCC_33323.xml	43	NT5007	324831	lga
L. lactis	Lactococcus lactis subsp. lactis	L. lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000006865.1_ASM686v1		49		272623	lla
L. paracasei	Lactobacillus paracasei (S1) ATCC No: SD5275	L. paracasei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	NT5042		44	NT5042		lpq
L. plantarum	Lactobacillus plantarum	L. plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000203855.3_ASM20385v3	Lactobacillus_plantarum_WCFS1.xml	45		220668	lpl
P. capillosus	Pseudoflavonifractor capillosus DSMZ 23940 (S2)	P. capillosus	Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000169255.2_ASM16925v2	Pseudoflavonifractor_capillosus_strain_ATCC_29799.xml	74	NT5008	411467	
P. copri	Prevotella copri (S1) DSMZ 18205	P. copri	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000157935.1_ASM15793v1	Prevotella_copri_CB7_DSM_18205.xml	9	NT5019	537011	
P. difficile	Clostridium difficile DSMZ 27543	P. difficile	Peptoclostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	GCA_000009205.1_ASM920v1		58	NT5083	272563	cdf
P. melaninogenica	Prevotella melaninogenica (S2) DSMZ 7089	P. melaninogenica	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000144405.1_ASM14440v1	Prevotella_melaninogenica_ATCC_25845.xml	10	NT5020	553174	pmz
R. bromii	Ruminococcus bromii (S1) ATCC No: 27255	R. bromii	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	NT5045		73	NT5045		rbr
R. gnavus	Ruminococcus gnavus (S1) ATCC No: 29149	R. gnavus	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000169475.1_ASM16947v1	Ruminococcus_gnavus_ATCC_29149.xml	71	NT5046	411470	
R. torques	Ruminococcus torques (S1) ATCC No: 27756	R. torques	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000153925.1_ASM15392v1	Ruminococcus_torques_ATCC_27756.xml	72	NT5047	411460	rto
S. flexneri	Shigella flexneri DSMZ 4782	S. flexneri	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000007405.1_ASM740v1		90		42897	sfx
S. salivarius	Streptococcus salivarius (S2) DSMZ No: 20560	S. salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	NT5038		51	NT5038		stj
S. sonnei	Shigella sonnei 53G	S. sonnei	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000188795.2_ASM18879v2		91	NT7160	216599	ssj
S. typhimurium ATCC14028	Salmonella enterica typhimurium ATCC 14028	S. typhimurium	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria			88			seo
S. typhimurium LT2	Salmonella enterica typhimurium ATCC 700720	S. typhimurium	Salmonella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000006945.2_ASM694v2	Salmonella_enterica_enterica_sv_Typhimurium_LT2.xml	89		99287	stm
V. cholerae A1552	Vibrio cholerae	V. cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria			94		2506210025	
V. cholerae N16961	Vibrio cholerae ATCC 39315	V. cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	GCA_000006745.1_ASM674v1		95		243277	vch
V. parvula	Veillonella parvula (S2) DSMZ 2008	V. parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes	GCA_000024945.1_ASM2494v1	Veillonella_parvula_Te3_DSM_2008.xml	75	NT5017	479436	vpr
Y. pseudotuberculosis	Yersinia pseudotuberculosis	Y. pseudotuberculosis	Yersinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	GCA_000834375.1_ASM83437v1	Yersinia_pseudotuberculosis_YPIII.xml	92		502800	ypy
B. wadsworthia	Bilophila wadsworthia (S2) ATCC No: 49260	B. wadsworthia	Bilophila	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	GCA_000701705.1_ASM70170v1		79	NT5036	1408428	
B. dorei	Bacteroides dorei (S1) DSM 17855/JCM 13471	B. dorei	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000156075.1_ASM15607v1	Bacteroides_dorei_DSM_17855.xml	19	NT5049	483217	bdo
B. caccae	Bacteroides caccae (S2) DSM 19024/ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A	B. caccae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000169015.1_ASM16901v1	Bacteroides_caccae_ATCC_43185.xml	16	NT5050	411901	
B. eggerthii	Bacteroides eggerthii (S2) DSM 20697/ATCC 27754, NCTC 11155	B. eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000155815.1_ASM15581v1	Bacteroides_eggerthii_DSM_20697.xml	20	NT5051	483216	
B. clarus	Bacteroides clarus (S1) DSM 22519/JCM 16067	B. clarus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000195615.1_ASM19561v1	Bacteroides_clarus_YIT_12056.xml	17	NT5052	762984	
B. coprocola	Bacteroides coprocola (S1) DSM 17136/JCM 12979	B. coprocola	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154845.1_ASM15484v1	Bacteroides_coprocola_M16_DSM_17136.xml	18	NT5053	470145	
B. ovatus	Bacteroides ovatus (S2) ATCC-8483	B. ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154125.1_ASM15412v1	Bacteroides_ovatus_ATCC_8483.xml	30	NT5054	411476	boa
B. stercoris	Bacteroides stercoris (S2) HM-1036	B. stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000413395.1_Bact_ster_CC31F_V1	Bacteroides_stercoris_ATCC_43183.xml	31	NT5055	1073351	
B. vulgatus HM-720	Bacteroides vulgatus (S2) HM-720	B. vulgatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273295.1_Bact_vulg_CL09T03C04_V1		37	NT5056	997891	bvu
B. fragilis HM-20	Bacteroides fragilis (S2) HM-20	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000157015.1_ASM15701v1	Bacteroides_fragilis_3_1_12.xml	22	NT5057	457424	bfg
B. fragilis HM-709	Bacteroides fragilis (S2) HM-709	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000263115.1_Bact_frag_CL07T00C01_V1		23	NT5058	997882	bfg
B. fragilis HM-710	Bacteroides fragilis (S2) HM-710	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273155.1_Bact_frag_CL07T12C05_V1		24	NT5059	997883	bfg
B. fragilis HM-711	Bacteroides fragilis (S2) HM-711	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273765.1_Bact_frag_CL05T00C42_V1		25	NT5060	997880	bfg
B. fragilis HM-714	Bacteroides fragilis (S2) HM-712	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273135.1_Bact_frag_CL05T12C13_V1		28	NT5062	997879	bfg
B. fragilis HM-712	Bacteroides fragilis (S2) HM-713	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273095.1_Bact_frag_CL03T00C08_V1		26	NT5063	997881	bfg
B. fragilis HM-713	Bacteroides fragilis (S2) HM-714	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273115.1_Bact_frag_CL03T12C07_V1		27	NT5061	997878	bfg
B. xylanisolvens	Bacteroides xylanisolvens (S2) HM-722	B. xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273315.1_Bact_xyla_CL03T12C04_V1		38	NT5064	997892	bxy
B. uniformis HM-715	Bacteroides uniformis (S2) HM-715	B. uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273785.1_Bact_unif_CL03T00C23_V1		34	NT5065	997889	
B. uniformis HM-716	Bacteroides uniformis (S2) HM-716	B. uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000273275.1_Bact_unif_CL03T12C37_V1		35	NT5066	997890	
R. intestinalis	Roseburia intestinalis (S1) DSM No.: 14610	R. intestinalis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000156535.1_ASM15653v1	Roseburia_intestinalis_L1_82.xml	70	NT5011	536231	rix
E. limosum	Eubacterium limosum (S2) DSM 20543	E. limosum	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	NT5068	Eubacterium_limosum_KIST612.xml	60	NT5068		
B. obeum	Blautia obeum (S1) DSM 25238	B. obeum	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000153905.1_ASM15390v1	Blautia_obeum_ATCC_29174.xml	64	NT5069	411459	rob
A. shahii	Alistipes shahii (S1) DSM 19121	A. shahii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000210575.1_ASM21057v1	Alistipes_shahii_WAL_8301.xml	15	NT5070	717959	ash
P. merdae	Parabacteroides merdae (S1) DSM 19495	P. merdae	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154105.1_ASM15410v1	Parabacteroides_merdae_ATCC_43184.xml	13	NT5071	411477	
S. parasanguinis	Streptococcus parasanguinis (S2) DSM 6778	S. parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000164675.2_ASM16467v2		50	NT5072	760570	scp
C. aerofaciens	Collinsella aerofaciens (S2) DSM 3979	C. aerofaciens	Collinsella	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	GCA_000169035.1_ASM16903v1	Collinsella_aerofaciens_ATCC_25986.xml	7	NT5073	411903	
P. distasonis	Parabacteroides distasonis (S2) DSM 20701	P. distasonis	Parabacteroides	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000012845.1_ASM1284v1	Parabacteroides_distasonis_ATCC_8503.xml	12	NT5074	435591	pdi
E. eligens	Eubacterium eligens (S1) DSM 3376	E. eligens	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	GCA_000146185.1_ASM14618v1	Eubacterium_eligens_ATCC_27750.xml	59	NT5075	515620	eel
D. formicigenerans	Dorea formicigenerans (S1) DSM 3992	D. formicigenerans	Dorea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000169235.1_ASM16923v1	Dorea_formicigenerans_ATCC_27755.xml	68	NT5076	411461	
R. hominis	Roseburia hominis (S1) DSM 16839	R. hominis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000225345.1_ASM22534v1	Roseburia_hominis_A2_183.xml	69	NT5079	585394	rho
O. splanchnicus	Odoribacter splanchnicus (S2) DSM 20712	O. splanchnicus	Odoribacter	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000190535.1_ASM19053v1	Odoribacter_splanchnicus_1651_6_DSM_20712.xml	11	NT5081	709991	osp
C. leptum	Clostridium leptum (S1) DSM 753	C. leptum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	GCA_000154345.1_ASM15434v1	Clostridium_leptum_DSM_753.xml	53	NT5082	428125	
L. salivarius	Lactobacillus salivarius	L. salivarius	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_001435955.1_ASM143595v1	Lactobacillus_salivarius_HO66_ATCC_11741.xml	47	NT14072	1423799	lsj
L. ruminis	Lactabacillus ruminis	L. ruminis	Lactabacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_001436475.1_ASM143647v1	Lactobacillus_ruminis_ATCC_25644.xml	40	NT14073	1423798	lrm
L. sakei subsp. sakei	Lactobacillus sakei subsp. Sakei	L. sakei subsp. sakei	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_001434065.1_ASM143406v1	Lactobacillus_sakei_subsp_sakei_23K.xml	46	NT14074	1423833	
L. delbrueckii subsp. delbrueckii	Lactabacillus delbrueckii subsp. Delbrueckii	L. delbrueckii subsp. delbrueckii	Lactabacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_001433875.1_ASM143387v1		39	NT14075	1423823	
C. catus	Coprococcus catus (S1) ATCC 27761	C. catus	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes		Coprococcus_catus_GD_7.xml	66	NT5080	116085	cct
L. fermentum	Lactobacillus fermentum	L. fermentum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000159215.1_ASM15921v1	Lactobacillus_fermentum_ATCC_14931.xml	42	NT14076	525325	lff
L. vaginalis	Lactobacillus vaginalis	L. vaginalis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000159435.1_ASM15943v1	Lactobacillus_vaginalis_ATCC_49540.xml	48	NT14077	1423814	
L. acidophilus	Lactobacillus acidophilus (S1) ATCC No: 700936	L. acidophilus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	GCA_000011985.1_ASM1198v1	Lactobacillus_acidophilus_NCFM.xml	41	NT5041	272621	lai
